Fecha,Producto bruto interno y demanda interna (índice 2007 = 100) - PBI,Bolsa de Valores de Lima - Montos Negociados en Bolsa (millones S/),Bolsa de Valores de Lima - Índices Bursátiles - Índice General BVL (base 31/12/91 = 100),Bolsa de Valores de Lima - Índices Bursátiles - Índice Selectivo BVL (base 31/12/91 = 100),Bolsa de Valores de Lima - Índices Bursátiles - SP/BVL - Financial (base 30/10/98 = 100),Bolsa de Valores de Lima - Índices Bursátiles - SP/BVL - Industrial (base 30/10/98 = 100),Bolsa de Valores de Lima - Índices Bursátiles - SP/BVL - Mining (base 30/10/98 = 100),Bolsa de Valores de Lima - Índices Bursátiles - SP/BVL - Services (base 30/10/98 = 100)
Mar05,81.39641299,534.92,4158.85,6858.83,n.d.,n.d.,n.d.,n.d.
Abr05,87.07344703,609.3,3986.29,6557.68,n.d.,n.d.,n.d.,n.d.
May05,92.1414551,1278.31,3925.34,6507.71,n.d.,n.d.,n.d.,n.d.
Jun05,88.455773,790.04,4038.07,6610.87,n.d.,n.d.,n.d.,n.d.
Jul05,87.27660063,500.44,4210.83,6867.15,n.d.,n.d.,n.d.,n.d.
Ago05,82.98948311,744.82,4611.76,7309.59,n.d.,n.d.,n.d.,n.d.
Sep05,82.08786653,1286.53,5070.83,8008.84,n.d.,n.d.,n.d.,n.d.
Oct05,84.80272393,2471.93,4764.35,7560.22,n.d.,n.d.,n.d.,n.d.
Nov05,90.49511762,1633.45,5034.3,8072.79,n.d.,n.d.,n.d.,n.d.
Dic05,91.54592669,944.3,4802.25,7681.11,n.d.,n.d.,n.d.,n.d.
Ene06,85.65904249,1482.59,5633.51,9367.41,n.d.,n.d.,n.d.,n.d.
Feb06,84.62852209,1264.1,6080.68,10075.52,n.d.,n.d.,n.d.,n.d.
Mar06,91.22869284,2594.32,5920.5,9837.23,n.d.,n.d.,n.d.,n.d.
Abr06,91.77800236,1031.93,7142.92,12131.84,n.d.,n.d.,n.d.,n.d.
May06,97.76190634,1414,7211.67,12182.35,n.d.,n.d.,n.d.,n.d.
Jun06,95.07289981,2401.63,8155.8,13780.59,n.d.,n.d.,n.d.,n.d.
Jul06,92.96160012,1168.77,8973.69,15590.42,n.d.,n.d.,n.d.,n.d.
Ago06,91.55476273,1911.8,10011.95,17807.85,n.d.,n.d.,n.d.,n.d.
Sep06,88.7693296,1339.83,10390.34,18321.26,n.d.,n.d.,n.d.,n.d.
Oct06,92.18220667,1383.71,10694.54,18465.75,n.d.,n.d.,n.d.,n.d.
